personnel.endposition.quitretire_employee,to be continue
contact.mediastatement.n/a_place,to be continue
conflict.attack.stealrobhijack_place,to be continue
movement.transportartifact.bringcarryunload_origin,to be continue
manufacture.artifact.build_artifact,to be continue
movement.transportperson.disperseseparate_origin,to be continue
life.injure.injurycausedbyviolentevents_instrument,to be continue
inspection.sensoryobserve.inspectpeopleorganization_inspector,to be continue
contact.requestadvise.meet_communicator,to be continue
transaction.transfermoney.borrowlend_recipient,to be continue
contact.threatencoerce.correspondence_recipient,to be continue
disaster.fireexplosion.fireexplosion_place,to be continue
movement.transportartifact.preventexit_transporter,to be continue
movement.transportperson.evacuationrescue_destination,to be continue
contact.funeralvigil.meet_place,to be continue
transaction.transaction.n/a_place,to be continue
contact.publicstatementinperson.n/a_place,to be continue
movement.transportperson.preventexit_transporter,to be continue
government.vote.violationspreventvote_candidate,to be continue
conflict.attack.hanging_attacker,to be continue
government.formation.mergegpe_place,to be continue
movement.transportartifact.hide_artifact,to be continue
transaction.transaction.transfercontrol_recipient,to be continue
conflict.attack.selfdirectedbattle_place,to be continue
justice.initiatejudicialprocess.chargeindict_defendant,to be continue
movement.transportartifact.fall_artifact,to be continue
manufacture.artifact.createintellectualproperty_instrument,to be continue
transaction.transaction.giftgrantprovideaid_beneficiary,to be continue
transaction.transaction.transfercontrol_beneficiary,to be continue
movement.transportartifact.bringcarryunload_destination,to be continue
movement.transportartifact.smuggleextract_origin,to be continue
government.formation.n/a_place,to be continue
personnel.startposition.n/a_employee,to be continue
government.formation.startgpe_place,to be continue
movement.transportperson.evacuationrescue_transporter,to be continue
government.agreements.acceptagreementcontractceasefire_participant,to be continue
conflict.yield.n/a_place,to be continue
life.die.n/a_victim,to be continue
conflict.yield.surrender_place,to be continue
government.agreements.rejectnullifyagreementcontractceasefire_rejecternullifier,to be continue
contact.discussion.n/a_participant,to be continue
transaction.transferownership.n/a_place,to be continue
transaction.transaction.giftgrantprovideaid_place,to be continue
movement.transportartifact.smuggleextract_destination,to be continue
government.agreements.rejectnullifyagreementcontractceasefire_place,to be continue
contact.commitmentpromiseexpressintent.meet_place,to be continue
contact.commandorder.broadcast_communicator,to be continue
movement.transportartifact.prevententry_destination,to be continue
conflict.attack.stabbing_target,to be continue
transaction.transferownership.borrowlend_recipient,to be continue
contact.negotiate.correspondence_place,to be continue
artifactexistence.damagedestroy.n/a_artifact,to be continue
conflict.attack.stealrobhijack_instrument,to be continue
contact.threatencoerce.meet_recipient,to be continue
transaction.transferownership.giftgrantprovideaid_artifact,to be continue
contact.commitmentpromiseexpressintent.correspondence_place,to be continue
conflict.demonstrate.n/a_demonstrator,to be continue
life.injure.illnessdegradationhungerthirst_place,to be continue
conflict.attack.strangling_instrument,to be continue
contact.discussion.correspondence_participant,to be continue
transaction.transfermoney.giftgrantprovideaid_giver,to be continue
contact.requestadvise.meet_place,to be continue
justice.initiatejudicialprocess.n/a_prosecutor,to be continue
justice.initiatejudicialprocess.chargeindict_crime,to be continue
