artifactexistence.artifactfailure.mechanicalfailure:prompt start, mechanicalartifact failed due to instrument at place ,end
artifactexistence.damagedestroy.n/a:prompt start, damagerdestroyer damaged or destroyed artifact using instrument in place ,end
artifactexistence.damagedestroy.damage:prompt start, damager damaged artifact using instrument in place ,end
artifactexistence.damagedestroy.destroy:prompt start, destroyer destroyed artifact using instrument in place ,end
artifactexistence.shortage.shortage:prompt start, experiencer experienced a shortage of supply at place ,end
conflict.attack.n/a:prompt start, attacker attacked target using instrument at place ,end
conflict.attack.airstrikemissilestrike:prompt start, attacker attacked target using instrument at place ,end
conflict.attack.biologicalchemicalpoisonattack:prompt start, attacker attacked target using instrument at place ,end
conflict.attack.bombing:prompt start, attacker attacked target using instrument at place ,end
conflict.attack.firearmattack:prompt start, attacker attacked target using instrument at place ,end
conflict.attack.hanging:prompt start, attacker attacked target using instrument at place ,end
conflict.attack.invade:prompt start, attacker attacked target using instrument at place ,end
conflict.attack.selfdirectedbattle:prompt start, attacker attacked target using instrument at place ,end
conflict.attack.setfire:prompt start, attacker attacked target using instrument at place ,end
conflict.attack.stabbing:prompt start, attacker attacked target using instrument at place ,end
conflict.attack.stealrobhijack:prompt start, attacker attacked target using instrument at place, in order to take artifact ,end
conflict.attack.strangling:prompt start, attacker attacked target using instrument at place ,end
conflict.coup.coup:prompt start, deposedentity was deposed by deposingentity at place ,end
conflict.demonstrate.n/a:prompt start, demonstrator was in a demonstration at place ,end
conflict.demonstrate.marchprotestpoliticalgathering:prompt start, demonstrator was in a demonstration or protest at place ,end
conflict.yield.n/a:prompt start, yielder yielded to recipient at place ,end
conflict.yield.retreat:prompt start, retreater retreated from origin place to destination place ,end
conflict.yield.surrender:prompt start, surrenderer surrendered to recipient at place ,end
contact.collaborate.n/a:prompt start, participant communicated with participant at place ,end
contact.collaborate.correspondence:prompt start, participant communicated remotely with participant at place ,end
contact.collaborate.meet:prompt start, participant met face-to-face with participant at place ,end
contact.commandorder.n/a:prompt start, communicator communicated with recipient about topic at place ,end
contact.commandorder.broadcast:prompt start, communicator communicated to recipient about topic at place (one-way communication) ,end
contact.commandorder.correspondence:prompt start, communicator communicated remotely with recipient about topic at place ,end
contact.commandorder.meet:prompt start, communicator met face-to-face with recipient about topic at place ,end
contact.commitmentpromiseexpressintent.n/a:prompt start, communicator communicated with recipient about topic at place ,end
contact.commitmentpromiseexpressintent.broadcast:prompt start, communicator communicated to recipient about topic at place (one-way communication) ,end
contact.commitmentpromiseexpressintent.correspondence:prompt start, communicator communicated remotely with recipient about topic at place ,end
contact.commitmentpromiseexpressintent.meet:prompt start, communicator met face-to-face with recipient about topic at place ,end
contact.discussion.n/a:prompt start, participant communicated with participant at place ,end
contact.discussion.correspondence:prompt start, participant communicated remotely with participant at place ,end
contact.discussion.meet:prompt start, participant met face-to-face with participant at place ,end
contact.funeralvigil.n/a:prompt start, participant communicated with participant during a funeral or vigil for deceased at place ,end
contact.funeralvigil.meet:prompt start, participant met face-to-face with participant during a funeral or vigil for deceased at place ,end
contact.mediastatement.n/a:prompt start, communicator communicated with recipient at place ,end
contact.mediastatement.broadcast:prompt start, communicator communicated to recipient at place (one-way communication) ,end
contact.negotiate.n/a:prompt start, participant communicated with participant about topic at place ,end
contact.negotiate.correspondence:prompt start, participant communicated remotely with participant about topic at place ,end
contact.negotiate.meet:prompt start, participant met face-to-face with participant about topic at place ,end
contact.prevarication.n/a:prompt start, communicator communicated with recipient about topic at place ,end
contact.prevarication.broadcast:prompt start, communicator communicated to recipient about topic at place (one-way communication) ,end
contact.prevarication.correspondence:prompt start, communicator communicated remotely with recipient about topic at place ,end
contact.prevarication.meet:prompt start, communicator met face-to-face with recipient about topic at place ,end
contact.publicstatementinperson.n/a:prompt start, communicator communicated with recipient at place ,end
contact.publicstatementinperson.broadcast:prompt start, communicator communicated to recipient at place (one-way communication) ,end
contact.requestadvise.n/a:prompt start, communicator communicated with recipient about topic at place ,end
contact.requestadvise.broadcast:prompt start, communicator communicated to recipient about topic at place (one-way communication) ,end
contact.requestadvise.correspondence:prompt start, communicator communicated remotely with recipient about topic at place ,end
contact.requestadvise.meet:prompt start, communicator met face-to-face with recipient about topic at place ,end
contact.threatencoerce.n/a:prompt start, communicator communicated with recipient about topic at place ,end
contact.threatencoerce.broadcast:prompt start, communicator communicated to recipient about topic at place (one-way communication) ,end
contact.threatencoerce.correspondence:prompt start, communicator communicated remotely with recipient about topic at place ,end
contact.threatencoerce.meet:prompt start, communicator met face-to-face with recipient about topic at place ,end
disaster.accidentcrash.accidentcrash:prompt start, driverpassenger in vehicle crashed into crashobject at place ,end
disaster.diseaseoutbreak.diseaseoutbreak:prompt start, disease broke out among victim or population at place ,end
disaster.fireexplosion.fireexplosion:prompt start, fireexplosionobject caught fire or exploded from instrument at place ,end
genericcrime.genericcrime.genericcrime:prompt start, perpetrator committed a crime against victim at place ,end
