ArtifactExistence.DamageDestroyDisableDismantle.Damage:prompt start, Damager ( and Damager ) damaged Artifact ( and Artifact ) using Instrument ( and Instrument ) in Place ( and Place )  ,end
ArtifactExistence.DamageDestroyDisableDismantle.Destroy:prompt start, Destroyer ( and Destroyer ) destroyed Artifact ( and Artifact ) using Instrument ( and Instrument ) in Place ( and Place ) ,end
ArtifactExistence.DamageDestroyDisableDismantle.DisableDefuse:prompt start, Disabler ( and Disabler ) disabled or defused Artifact ( and Artifact ) using Instrument ( and Instrument ) in Place ( and Place ) ,end
ArtifactExistence.DamageDestroyDisableDismantle.Dismantle:prompt start, Dismantler ( and Dismantler ) dismantled Artifact ( and Artifact ) using Instrument ( and Instrument ) from Components ( and Components ) in Place ( and Place ) ,end
ArtifactExistence.DamageDestroyDisableDismantle.Unspecified:prompt start, DamagerDestroyer ( and DamagerDestroyer ) damaged or destroyed Artifact ( and Artifact ) using Instrument ( and Instrument ) in Place ( and Place ) ,end
ArtifactExistence.ManufactureAssemble.Unspecified:prompt start, ManufacturerAssembler ( and ManufacturerAssembler ) manufactured or assembled or produced Artifact ( and Artifact ) from Components ( and Components ) using Instrument ( and Instrument ) at Place ( and Place ) ,end
Cognitive.IdentifyCategorize.Unspecified:prompt start, Identifier ( and Identifier ) identified IdentifiedObject ( and IdentifiedObject ) as IdentifiedRole ( and IdentifiedRole ) at Place ( and Place ) ,end
Cognitive.Inspection.SensoryObserve:prompt start, Observer ( and Observer ) observed ObservedEntity ( and ObservedEntity ) using Instrument ( and Instrument ) in Place ( and Place ) ,end
Cognitive.Research.Unspecified:prompt start, Researcher ( and Researcher ) researched Subject ( and Subject ) using Means ( and Means ) at Place ( and Place ) ,end
Cognitive.TeachingTrainingLearning.Unspecified:prompt start, TeacherTrainer ( and TeacherTrainer ) taught FieldOfKnowledge ( and FieldOfKnowledge ) to Learner ( and Learner ) using Means ( and Means ) at Institution ( and Institution ) in Place ( and Place ) ,end
Conflict.Attack.DetonateExplode:prompt start, Attacker ( and Attacker ) detonated or exploded ExplosiveDevice ( and ExplosiveDevice ) using Instrument ( and Instrument ) to attack Target ( and Target ) at Place ( and Place ) ,end
Conflict.Attack.Unspecified:prompt start, Attacker ( and Attacker ) attacked Target ( and Target ) using Instrument ( and Instrument ) at Place ( and Place ) ,end
Conflict.Defeat.Unspecified:prompt start, Victor ( and Victor ) Defeated in ConflictOrElection at Place ( and Place ) ,end
Conflict.Demonstrate.DemonstrateWithViolence:prompt start, Demonstrator ( and Demonstrator ) was in a demonstration involving violence for Topic ( and Topic ) with VisualDisplay against Target ( and Target ) at Place ( and Place ), with potential involvement of Regulator police or military ,end
Conflict.Demonstrate.Unspecified:prompt start, Demonstrator ( and Demonstrator ) was in a demonstration for Topic ( and Topic ) with VisualDisplay against Target ( and Target ) at Place ( and Place ), with potential involvement of Regulator police or military ,end
